id,date,province,affectedMarkets,weatherType,impactLevel,durationDays,description
WX00018,2026-03-22,陕西,XA001,暴雨,轻微,2,陕西2026-03-22发生暴雨天气，影响1个市场，持续2天
WX00056,2026-03-23,上海,SH001,暴雨,较大,5,上海2026-03-23发生暴雨天气，影响1个市场，持续5天
WX00016,2026-03-25,湖北,WH001,暴雨,一般,3,湖北2026-03-25发生暴雨天气，影响1个市场，持续3天
WX00042,2026-03-26,湖北,WH001,暴雪,严重,4,湖北2026-03-26发生暴雪天气，影响1个市场，持续4天
WX00051,2026-03-26,陕西,XA001,干旱,严重,4,陕西2026-03-26发生干旱天气，影响1个市场，持续4天
WX00055,2026-03-27,上海,SH001,台风,轻微,7,上海2026-03-27发生台风天气，影响1个市场，持续7天
WX00027,2026-03-27,四川,CD001,寒潮,较大,3,四川2026-03-27发生寒潮天气，影响1个市场，持续3天
WX00007,2026-03-31,陕西,XA001,暴雪,严重,1,陕西2026-03-31发生暴雪天气，影响1个市场，持续1天
WX00036,2026-03-31,陕西,XA001,台风,一般,6,陕西2026-03-31发生台风天气，影响1个市场，持续6天
WX00024,2026-04-01,四川,CD001,暴雪,一般,1,四川2026-04-01发生暴雪天气，影响1个市场，持续1天
WX00008,2026-04-01,湖北,WH001,高温,严重,2,湖北2026-04-01发生高温天气，影响1个市场，持续2天
WX00034,2026-04-06,广东,"GZ001,SZ001",冰雹,严重,6,广东2026-04-06发生冰雹天气，影响2个市场，持续6天
WX00020,2026-04-10,北京,BJ001,干旱,严重,6,北京2026-04-10发生干旱天气，影响1个市场，持续6天
WX00011,2026-04-10,河南,HN001,寒潮,较大,5,河南2026-04-10发生寒潮天气，影响1个市场，持续5天
WX00053,2026-04-10,陕西,XA001,高温,轻微,2,陕西2026-04-10发生高温天气，影响1个市场，持续2天
WX00033,2026-04-13,广东,"GZ001,SZ001",暴雨,严重,3,广东2026-04-13发生暴雨天气，影响2个市场，持续3天
WX00015,2026-04-16,四川,CD001,台风,一般,3,四川2026-04-16发生台风天气，影响1个市场，持续3天
WX00013,2026-04-16,广东,"GZ001,SZ001",台风,轻微,5,广东2026-04-16发生台风天气，影响2个市场，持续5天
WX00002,2026-04-19,广东,"GZ001,SZ001",台风,一般,6,广东2026-04-19发生台风天气，影响2个市场，持续6天
WX00059,2026-04-20,北京,BJ001,暴雨,较大,6,北京2026-04-20发生暴雨天气，影响1个市场，持续6天
WX00048,2026-04-20,广东,"GZ001,SZ001",冰雹,一般,3,广东2026-04-20发生冰雹天气，影响2个市场，持续3天
WX00038,2026-04-20,湖北,WH001,暴雨,较大,3,湖北2026-04-20发生暴雨天气，影响1个市场，持续3天
WX00058,2026-04-22,广东,"GZ001,SZ001",大雾,轻微,1,广东2026-04-22发生大雾天气，影响2个市场，持续1天
WX00049,2026-04-23,四川,CD001,暴雨,轻微,2,四川2026-04-23发生暴雨天气，影响1个市场，持续2天
WX00037,2026-04-24,上海,SH001,干旱,较大,7,上海2026-04-24发生干旱天气，影响1个市场，持续7天
WX00040,2026-04-25,上海,SH001,冰雹,较大,4,上海2026-04-25发生冰雹天气，影响1个市场，持续4天
WX00035,2026-05-01,陕西,XA001,大雾,一般,4,陕西2026-05-01发生大雾天气，影响1个市场，持续4天
WX00030,2026-05-02,湖北,WH001,台风,较大,6,湖北2026-05-02发生台风天气，影响1个市场，持续6天
WX00044,2026-05-03,河南,HN001,冰雹,较大,4,河南2026-05-03发生冰雹天气，影响1个市场，持续4天
WX00006,2026-05-03,湖北,WH001,冰雹,一般,2,湖北2026-05-03发生冰雹天气，影响1个市场，持续2天
WX00043,2026-05-03,陕西,XA001,干旱,轻微,1,陕西2026-05-03发生干旱天气，影响1个市场，持续1天
WX00028,2026-05-05,湖北,WH001,冰雹,一般,4,湖北2026-05-05发生冰雹天气，影响1个市场，持续4天
WX00050,2026-05-07,陕西,XA001,高温,较大,1,陕西2026-05-07发生高温天气，影响1个市场，持续1天
WX00039,2026-05-11,湖北,WH001,干旱,轻微,5,湖北2026-05-11发生干旱天气，影响1个市场，持续5天
WX00019,2026-05-15,北京,BJ001,冰雹,较大,6,北京2026-05-15发生冰雹天气，影响1个市场，持续6天
